编号	定义文件	标题	需求状态	优先级	来源	关联需求	设计证据	实现证据	自动化证据	真实环境证据	最终状态	最近检查
FR-RUNTIME-005	doc/requirements/v1/04-functional-requirements.md	从可信主播放器读取状态并执行最小控制	已接受	P0	`SCOPE-05`；`SCN-STU-02`、`SCN-ERR-02`	—					待设计	
FR-RUNTIME-006	doc/requirements/v1/04-functional-requirements.md	节点只在合法时间穿越时自动触发	已接受	P0	`SCOPE-03`、`SCOPE-05`；`SCN-STU-02`；`TERM-024`	`FR-LEARN-*`					待设计	
FR-RUNTIME-007	doc/requirements/v1/04-functional-requirements.md	前后跳转和跨越多个节点具有确定行为	已接受	P0	`SCOPE-05`；`SCN-STU-02`	`FR-LEARN-*`					待设计	
FR-RUNTIME-008	doc/requirements/v1/04-functional-requirements.md	同一时刻只执行一个一级互动	已接受	P0	`SCOPE-05`；`SCN-STU-02`	`FR-LEARN-*`					待设计	
FR-RUNTIME-009	doc/requirements/v1/04-functional-requirements.md	节点窗口完整呈现内容且不执行课程代码	已接受	P0	`SCOPE-03`、`SCOPE-05`；`SCN-STU-02`；`FR-AUTHOR-010`	—					待设计	
FR-RUNTIME-010	doc/requirements/v1/04-functional-requirements.md	四种基线节点按已发布规则执行	已接受	P0	`SCOPE-03`、`SCOPE-05`；`SCN-STU-02`；`FR-AUTHOR-005`	`FR-AUTHOR-*`、`FR-LEARN-*`					待设计	
FR-RUNTIME-011	doc/requirements/v1/04-functional-requirements.md	节点完成前暂停并在明确结果后恢复播放	已接受	P0	`SCOPE-05`；`SCN-STU-02`	`FR-LEARN-*`					待设计	
FR-RUNTIME-012	doc/requirements/v1/04-functional-requirements.md	未知节点类型和不支持能力显式降级	已接受	P0	`SCOPE-03`、`SCOPE-05`；`SCN-ERR-02`；`FR-AUTHOR-011`	`FR-AUTHOR-*`、`FR-LEARN-*`、`INT-PACKAGE-*`					待设计	
FR-RUNTIME-013	doc/requirements/v1/04-functional-requirements.md	刷新、单页导航和播放器重建不会留下重复运行时	已接受	P0	`SCOPE-05`；`SCN-STU-02`、`SCN-ERR-02`	`FR-LEARN-*`					待设计	
FR-RUNTIME-014	doc/requirements/v1/04-functional-requirements.md	运行故障不干扰普通视频浏览或泄露本机内容	已接受	P0	`SCOPE-05`、`SCOPE-06`；`SCN-STU-02`、`SCN-STU-03`、`SCN-ERR-02`	—					待设计	
FR-LEARN-001	doc/requirements/v1/04-functional-requirements.md	学习状态绑定本机、课程、课节、发布版本和节点身份	已接受	P0	`SCOPE-05`、`SCOPE-06`；`SCN-STU-02`、`SCN-STU-03`；`TERM-049`	`FR-COURSE-*`、`FR-LIB-*`					待设计	
FR-LEARN-002	doc/requirements/v1/04-functional-requirements.md	每次学习会话具有独立身份和明确边界	已接受	P0	`SCOPE-05`、`SCOPE-06`；`SCN-STU-02`、`SCN-STU-03`；`TERM-046`	`FR-RUNTIME-*`					待设计	
FR-LEARN-003	doc/requirements/v1/04-functional-requirements.md	保存并恢复每个课节最近确认的继续位置	已接受	P0	`SCOPE-06`；`SCN-STU-03`	`FR-RUNTIME-*`					待设计	
FR-LEARN-004	doc/requirements/v1/04-functional-requirements.md	节点状态区分未开始、进行中和不同终止结果	已接受	P0	`SCOPE-05`、`SCOPE-06`；`SCN-STU-02`；`TERM-047`、`TERM-048`	`FR-RUNTIME-*`					待设计	
FR-LEARN-005	doc/requirements/v1/04-functional-requirements.md	未提交输入作为本机草稿恢复但不计作尝试	已接受	P1	`SCOPE-06`；`SCN-STU-02`、`SCN-STU-03`	—					待设计	
FR-LEARN-006	doc/requirements/v1/04-functional-requirements.md	每次正式提交形成可区分且幂等的节点尝试	已接受	P0	`SCOPE-06`；`SCN-STU-02`；`TERM-048`	`FR-RUNTIME-*`					待设计	
FR-LEARN-007	doc/requirements/v1/04-functional-requirements.md	四种基线节点使用明确完成规则	已接受	P0	`SCOPE-03`、`SCOPE-06`；`SCN-STU-02`；`FR-RUNTIME-010`	`FR-RUNTIME-*`					待设计	
FR-LEARN-008	doc/requirements/v1/04-functional-requirements.md	课节进度只按当前安装范围内的节点计算	已接受	P0	`SCOPE-05`、`SCOPE-06`；`SCN-STU-02`、`SCN-STU-04`；`TERM-054`、`TERM-055`	`FR-LIB-*`					待设计	
FR-LEARN-009	doc/requirements/v1/04-functional-requirements.md	课程进度只表示当前机器的当前安装范围	已接受	P0	`SCOPE-05`、`SCOPE-06`；`SCN-STU-03`、`SCN-STU-04`；`TERM-054`	`FR-GRANT-*`、`FR-LIB-*`					待设计	
FR-LEARN-010	doc/requirements/v1/04-functional-requirements.md	学生可以明确重置课节或课程本机进度	已接受	P1	`SCOPE-06`；`SCN-STU-03`	`FR-LIB-*`					待设计	
FR-LEARN-011	doc/requirements/v1/04-functional-requirements.md	学习状态只在当前机器保存且不自动上传	已接受	P0	`SCOPE-06`；`SCN-STU-03`；`D-026`	—					待设计	
FR-LEARN-012	doc/requirements/v1/04-functional-requirements.md	重复、并发和存储故障不制造虚假进度	已接受	P0	`SCOPE-06`；`SCN-STU-02`、`SCN-STU-03`、`SCN-ERR-02`	`FR-LIB-*`					待设计	
FR-LEARN-013	doc/requirements/v1/04-functional-requirements.md	课程更新只保留可证明兼容的学习状态	已接受	P0	`SCOPE-05`、`SCOPE-06`；`SCN-STU-04`；`FR-LIB-009`	`FR-LIB-*`					待设计	
FR-ADMIN-001	doc/requirements/v1/04-functional-requirements.md	管理员查看教师运营目录	已接受	P0	`SCOPE-01`、`SCOPE-08`；`SCN-ADM-01`、`SCN-ADM-02`	`FR-AUTH-*`、`FR-WS-*`、`DATA-OPS-*`、`SEC-ACCESS-*`					待设计	
FR-ADMIN-002	doc/requirements/v1/04-functional-requirements.md	高风险管理动作先确认对象和影响	已接受	P0	`SCOPE-08`；`SCN-ADM-02`、`SCN-ADM-05`、`SCN-ERR-01`	`FR-AUTH-003`、`FR-WS-*`、`SEC-ACCESS-*`					待设计	
FR-ADMIN-003	doc/requirements/v1/04-functional-requirements.md	高风险业务动作可追溯	已接受	P0	`SCOPE-08`；`SCN-ADM-01`、`SCN-ADM-02`、`SCN-ADM-03`、`SCN-TCH-04`、`SCN-TCH-05`	`SEC-ACCESS-*`					待设计	
FR-ADMIN-004	doc/requirements/v1/04-functional-requirements.md	支持人员能够确认版本和核心健康状态	已接受	P0	`SCOPE-08`；`SCN-ADM-03`、`SCN-ERR-02`	`OPS-RELEASE-*`					待设计	
FR-ADMIN-005	doc/requirements/v1/04-functional-requirements.md	故障结果提供安全的支持标识	已接受	P0	`SCOPE-08`；`SCN-ADM-03`、`SCN-ERR-01`、`SCN-ERR-02`	—					待设计	
FR-ADMIN-006	doc/requirements/v1/04-functional-requirements.md	支持和恢复遵守最小范围	已接受	P0	`SCOPE-08`；`SCN-ADM-03`	`FR-LEARN-011`、`SEC-ACCESS-*`					待设计	
FR-PORT-001	doc/requirements/v1/04-functional-requirements.md	教师导出自己课程的已保存配置	已接受	P1	`SCOPE-09`；`SCN-TCH-08`	`SEC-ACCESS-*`、`INT-FILE-*`					待设计	
FR-PORT-002	doc/requirements/v1/04-functional-requirements.md	课程文件只包含可携带的课程配置	已替代（被 `FR-PORT-005` 替代）	P0	`SCOPE-09`；`SCN-TCH-08`	`INT-FILE-*`					待设计	
FR-PORT-003	doc/requirements/v1/04-functional-requirements.md	导入课程文件默认建立新的课程草稿	已接受	P1	`SCOPE-09`；`SCN-TCH-08`	`FR-COURSE-*`、`FR-AUTHOR-*`、`FR-PUBLISH-*`					待设计	
FR-PORT-004	doc/requirements/v1/04-functional-requirements.md	无效或不兼容文件不改变现有数据	已接受	P0	`SCOPE-09`；`SCN-TCH-08`、`SCN-ERR-02`	`INT-FILE-*`					待设计	
FR-PORT-005	doc/requirements/v1/04-functional-requirements.md	课程文件包含教师已保存的字幕原文（替代 `FR-PORT-002`）	已接受	P0	`SCOPE-09`；`SCN-TCH-08`；`D-V1-014`	—					待设计	
FR-INTAKE-001	doc/requirements/v1/04-functional-requirements.md	公开销售页只承诺当前可交付的试用能力	已接受	P0	`D-V1-001`、`SCOPE-10`；`SCN-PUB-01`	`DATA-INTAKE-*`、`INT-TRIAL-*`、`SEC-PRIV-003`、`OPS-HEALTH-002`					待设计	
FR-INTAKE-002	doc/requirements/v1/04-functional-requirements.md	目标老师无需登录即可提交最小试用信息	已接受	P0	`D-V1-001`、`SCOPE-10`；`SCN-PUB-01`	`DATA-INTAKE-001`、`INT-TRIAL-001`、`SEC-PRIV-003`					待设计	
FR-INTAKE-003	doc/requirements/v1/04-functional-requirements.md	授权运营人员能够取得申请并人工跟进	已接受	P0	`D-V1-001`、`SCOPE-10`；`SCN-PUB-01`	`DATA-INTAKE-001`、`DATA-INTAKE-002`、`INT-TRIAL-002`、`SEC-PRIV-003`					待设计	
FR-INTAKE-004	doc/requirements/v1/04-functional-requirements.md	试用申请与教师账号创建保持受控分离	已接受	P0	`D-V1-001`、`SCOPE-01`、`SCOPE-10`；`SCN-PUB-01`、`SCN-ADM-01`	`FR-AUTH-002`、`FR-WS-001`、`DATA-INTAKE-002`、`DATA-OPS-001`、`SEC-ACCESS-001`					待设计	
DATA-ID-001	doc/requirements/v1/05-data-requirements.md	管理员、教师、学生本机标识和会话分别建模	已接受	P0	`SCOPE-01`、`SCOPE-06`；`FR-AUTH-001`、`FR-AUTH-004`、`FR-AUTH-007`、`FR-AUTH-010`	`SEC-ACCESS-*`					待设计	
DATA-ID-002	doc/requirements/v1/05-data-requirements.md	账号状态、凭证和会话具有独立生命周期	已接受	P0	`FR-AUTH-002`、`FR-AUTH-003`、`FR-AUTH-005`、`FR-AUTH-011`	`DATA-LIFE-*`					待设计	
DATA-ID-003	doc/requirements/v1/05-data-requirements.md	教师与唯一工作空间的归属稳定	已接受	P0	`SCOPE-02`；`FR-WS-001`、`FR-WS-003`、`FR-WS-007`、`FR-WS-008`	`SEC-ACCESS-*`、`DATA-QUALITY-*`					待设计	
DATA-ID-004	doc/requirements/v1/05-data-requirements.md	本机学习标识不形成服务端学生账号	已接受	P0	`SCOPE-06`；`D-026`；`FR-AUTH-007`、`FR-LEARN-011`	`DATA-LOCAL-*`					待设计	
DATA-CONTENT-001	doc/requirements/v1/05-data-requirements.md	课程版本和课节使用稳定层级身份	已接受	P0	`FR-COURSE-001`、`FR-COURSE-004`、`FR-COURSE-006`、`FR-COURSE-009`	`DATA-QUALITY-*`、`SEC-ACCESS-*`					待设计	
DATA-CONTENT-002	doc/requirements/v1/05-data-requirements.md	视频引用独立于课程和课节身份	已接受	P0	`FR-COURSE-007`、`FR-COURSE-008`、`FR-RUNTIME-002`、`FR-RUNTIME-003`	`DATA-QUALITY-*`					待设计	
DATA-CONTENT-003	doc/requirements/v1/05-data-requirements.md	字幕是教师本机临时制作数据	已替代（被 `DATA-CONTENT-005` 替代）	P0	`FR-AUTHOR-001`、`FR-AUTHOR-002`、`FR-PORT-002`	`INT-FILE-*`					待设计	
DATA-CONTENT-004	doc/requirements/v1/05-data-requirements.md	脚本草稿和节点遵守统一结构	已接受	P0	`FR-AUTHOR-003` 至 `FR-AUTHOR-011`	`DATA-QUALITY-*`					待设计	
DATA-CONTENT-005	doc/requirements/v1/05-data-requirements.md	字幕原文止步于教师草稿与发布快照（替代 `DATA-CONTENT-003`）	已接受	P0	`FR-AUTHOR-012`、`FR-AUTHOR-013`、`FR-PORT-005`、`D-V1-014`	—					待设计	
DATA-CONTENT-006	doc/requirements/v1/05-data-requirements.md	节点媒体使用服务端资源身份而不是教师输入来源	已接受	P0	`FR-AUTHOR-014`、`D-V1-016`	`FR-AUTHOR-014`					待设计	
DATA-CONTENT-007	doc/requirements/v1/05-data-requirements.md	课程族与课程升级关系不改变课程身份	已接受；升级能力后续实现	P1	`D-V1-018`、`TERM-056`、`TERM-057`	—					待设计	
DATA-DELIVERY-001	doc/requirements/v1/05-data-requirements.md	整门课程发布形成不可变版本（被 `DATA-DELIVERY-007`、`DATA-DELIVERY-008` 替代）	已替代（被 `DATA-DELIVERY-007`、`DATA-DELIVERY-008` 替代）	P0	`FR-PUBLISH-005` 至 `FR-PUBLISH-009`；`TERM-029`	`DATA-QUALITY-*`					待设计	
DATA-DELIVERY-002	doc/requirements/v1/05-data-requirements.md	课程包是独立课程版本和授权范围的派生结果	已接受	P0	`FR-PUBLISH-010`、`FR-GRANT-009`、`FR-LIB-005`	`INT-PACKAGE-*`、`DATA-QUALITY-*`					待设计	
DATA-DELIVERY-003	doc/requirements/v1/05-data-requirements.md	授权码、授权项和授权范围分别保存	已接受	P0	`FR-GRANT-001` 至 `FR-GRANT-005`	`DATA-QUALITY-*`					待设计	
DATA-DELIVERY-004	doc/requirements/v1/05-data-requirements.md	领取记录和有效资格是不同事实	已接受	P0	`FR-GRANT-006` 至 `FR-GRANT-010`	`DATA-QUALITY-*`					待设计	
DATA-DELIVERY-005	doc/requirements/v1/05-data-requirements.md	在线资格与已安装课程生命周期分离	已接受	P0	`FR-GRANT-011`、`FR-LIB-001`、`FR-LIB-007`	`DATA-LOCAL-*`、`SEC-ACCESS-*`					待设计	
DATA-DELIVERY-006	doc/requirements/v1/05-data-requirements.md	授权码按不同本机标识限制领取数量	已接受；实现待开发	P0	`D-V1-015`、`FR-GRANT-013`	`FR-GRANT-007`、`FR-GRANT-012`					待设计	
DATA-DELIVERY-007	doc/requirements/v1/05-data-requirements.md	发布成功后形成独立课程身份并消耗草稿	已接受；实现待开发	P0	`D-V1-018`、`FR-PUBLISH-012`、`SCN-TCH-04`、`SCN-TCH-09`	—					待设计	
DATA-DELIVERY-008	doc/requirements/v1/05-data-requirements.md	已发布课程版本的修改与增加版本具有不同保留结果	已接受；实现待开发	P0	`D-V1-018`、`FR-PUBLISH-013`、`SCN-TCH-06`、`SCN-TCH-09`	—					待设计	
DATA-DELIVERY-009	doc/requirements/v1/05-data-requirements.md	授权码绑定单个已发布课程版本	已接受；实现待开发	P0	`D-V1-018`、`FR-GRANT-014`、`SCN-TCH-05`、`SCN-TCH-09`	—					待设计	
DATA-LOCAL-001	doc/requirements/v1/05-data-requirements.md	学生课程库是当前机器的独立数据集合	已接受	P0	`FR-LIB-001` 至 `FR-LIB-007`	—					待设计	
DATA-LOCAL-002	doc/requirements/v1/05-data-requirements.md	学习状态绑定课程版本和稳定对象身份	已接受	P0	`FR-LEARN-001` 至 `FR-LEARN-004`	`DATA-QUALITY-*`					待设计	
DATA-LOCAL-003	doc/requirements/v1/05-data-requirements.md	草稿、尝试和节点结果分别保存	已接受	P0	`FR-LEARN-004` 至 `FR-LEARN-007`	`DATA-QUALITY-*`					待设计	
DATA-LOCAL-004	doc/requirements/v1/05-data-requirements.md	课节和课程进度由底层状态派生	已接受	P0	`FR-LEARN-008`、`FR-LEARN-009`	—					待设计	
DATA-LOCAL-005	doc/requirements/v1/05-data-requirements.md	重置、删除和更新只影响明确范围	已接受	P0	`FR-LIB-004`、`FR-LIB-009`、`FR-LIB-010`、`FR-LEARN-010`、`FR-LEARN-013`	`DATA-QUALITY-*`					待设计	
DATA-OPS-001	doc/requirements/v1/05-data-requirements.md	运营状态和高风险操作可追溯	已接受	P0	`FR-ADMIN-001` 至 `FR-ADMIN-003`	—					待设计	
DATA-OPS-002	doc/requirements/v1/05-data-requirements.md	版本、诊断和恢复记录使用安全关联信息	已接受	P0	`FR-ADMIN-004` 至 `FR-ADMIN-006`	`OPS-RELEASE-*`					待设计	
DATA-PORT-001	doc/requirements/v1/05-data-requirements.md	教师课程文件具有自描述边界	已替代（被 `DATA-PORT-003` 替代）	P1	`FR-PORT-001`、`FR-PORT-002`	`INT-FILE-*`					待设计	
DATA-PORT-002	doc/requirements/v1/05-data-requirements.md	导入结果与来源身份明确分离	已接受	P0	`FR-PORT-003`、`FR-PORT-004`	`DATA-QUALITY-*`					待设计	
DATA-PORT-003	doc/requirements/v1/05-data-requirements.md	教师课程文件包含字幕原文（替代 `DATA-PORT-001`）	已接受	P1	`FR-PORT-001`、`FR-PORT-005`、`D-V1-014`	—					待设计	
DATA-LIFE-001	doc/requirements/v1/05-data-requirements.md	数据按最低必要范围分类和放置	已接受	P0	`SCOPE-06`、`SCOPE-08`；`FR-LEARN-011`、`FR-ADMIN-003`	—					待设计	
DATA-LIFE-002	doc/requirements/v1/05-data-requirements.md	各对象保留规则独立且可说明	已接受	P0	`D-V1-006`；`FR-AUTH-006`、`FR-PUBLISH-007`、`FR-GRANT-005`、`FR-LEARN-010`	—					待设计	
DATA-LIFE-003	doc/requirements/v1/05-data-requirements.md	删除、备份和恢复不扩大数据范围	已接受	P0	`SCOPE-09`；`FR-LIB-004`、`FR-ADMIN-006`	—					待设计	
DATA-QUALITY-001	doc/requirements/v1/05-data-requirements.md	身份、引用、唯一性和顺序可执行校验	已接受	P0	全部已接受 `FR-*`	`DEV-TEST-*`					待设计	
DATA-QUALITY-002	doc/requirements/v1/05-data-requirements.md	重复、并发和故障只产生一个完整结果	已接受	P0	`SCN-ERR-01`、`SCN-ERR-02`；各功能域重复、并发和原子写入要求	—					待设计	
DATA-QUALITY-003	doc/requirements/v1/05-data-requirements.md	派生结果和损坏恢复保留来源证据	已接受	P0	`FR-LIB-013`、`FR-LEARN-012`、`FR-ADMIN-001`、`FR-ADMIN-004`	—					待设计	
DATA-INTAKE-001	doc/requirements/v1/05-data-requirements.md	试用申请只保存接入所需的最小事实	已接受	P0	`D-V1-001`、`SCOPE-10`；`FR-INTAKE-001` 至 `FR-INTAKE-003`	`INT-TRIAL-*`、`SEC-PRIV-003`、`DATA-LIFE-001`、`DATA-LIFE-002`					待设计	
DATA-INTAKE-002	doc/requirements/v1/05-data-requirements.md	申请、跟进和教师身份具有独立生命周期	已接受	P0	`D-V1-001`、`SCOPE-01`、`SCOPE-10`；`FR-INTAKE-003`、`FR-INTAKE-004`	`FR-AUTH-002`、`FR-WS-001`、`DATA-ID-*`、`DATA-OPS-001`、`SEC-PRIV-003`					待设计	
INT-WEB-001	doc/requirements/v1/06-interface-integration-requirements.md	按角色隔离 Web 业务能力	已接受	P0	管理员职责、教师职责及工作区需求	`FR-AUTH-001`、`FR-AUTH-004`、`FR-AUTH-010`、`FR-WS-004`、`FR-WS-007`、`DATA-ID-001`					待设计	
INT-EXT-001	doc/requirements/v1/06-interface-integration-requirements.md	由插件后台统一承担联网与本地持久化	已接受	P0	插件运行边界和单机数据边界	`FR-LIB-005`、`FR-LIB-006`、`FR-LEARN-001`、`FR-LEARN-003`、`DATA-LOCAL-001`					待设计	
INT-EXT-002	doc/requirements/v1/06-interface-integration-requirements.md	插件内部消息必须可配对并识别失效上下文	已接受	P0	插件页面、后台和内容脚本之间的异步协作	`FR-LIB-006`、`FR-RUNTIME-013`、`DATA-QUALITY-002`					待设计	
INT-EXT-003	doc/requirements/v1/06-interface-integration-requirements.md	真实预览使用学生运行时但不产生学生数据	已接受	P0	教师需要在发布前验证真实交互效果	`FR-AUTHOR-001`、`FR-PUBLISH-001`、`FR-PUBLISH-004`、`FR-RUNTIME-001`、`DATA-CONTENT-002`					待设计	
INT-BILI-001	doc/requirements/v1/06-interface-integration-requirements.md	只在匹配课节的受支持视频页激活	已接受	P0	B 站视频课运行场景和最小侵入约束	`FR-RUNTIME-001`、`FR-RUNTIME-002`、`FR-RUNTIME-003`、`CONSTRAINT-02`、`DATA-CONTENT-003`					待设计	
INT-BILI-002	doc/requirements/v1/06-interface-integration-requirements.md	课程节点只使用最小播放器控制并随页面生命周期重绑	已接受	P0	课程节点运行方式和对宿主页面的最小干预原则	`FR-RUNTIME-004`、`FR-RUNTIME-005`、`FR-RUNTIME-011`、`FR-RUNTIME-014`、`CONSTRAINT-02`					待设计	
INT-PACKAGE-001	doc/requirements/v1/06-interface-integration-requirements.md	兑换只返回当前授权的完整独立课程版本	已接受	P0	兑换码授权、课程整包下载和单机使用方式	`FR-GRANT-006`、`FR-GRANT-007`、`FR-GRANT-008`、`FR-LIB-005`、`DATA-DELIVERY-002`					待设计	
INT-PACKAGE-002	doc/requirements/v1/06-interface-integration-requirements.md	插件独立校验并原子安装课程发布包	已接受	P0	课程下载、更新和本地课程库可靠性	`FR-GRANT-009`、`FR-GRANT-010`、`FR-LIB-006`、`FR-LIB-007`、`FR-LIB-008`、`DATA-DELIVERY-004`					待设计	
INT-FILE-001	doc/requirements/v1/06-interface-integration-requirements.md	字幕文件仅在教师浏览器内解析	已替代（被 `INT-FILE-003` 替代）	P1	教师使用字幕辅助课程制作	`FR-AUTHOR-002`、`DATA-CONTENT-002`、`DATA-LOCAL-001`					待设计	
INT-FILE-002	doc/requirements/v1/06-interface-integration-requirements.md	教师课程文件可移植但不直接改变线上状态	已接受	P1	课程及交互信息需要支持教师本地下载和迁移	`FR-PORT-001`、`FR-PORT-002`、`FR-PORT-003`、`FR-PORT-004`、`DATA-PORT-001`、`DATA-PORT-002`					待设计	
INT-FILE-003	doc/requirements/v1/06-interface-integration-requirements.md	字幕经服务端检查修复后再由保存草稿动作进入服务端，不进入课程包或插件（替代 `INT-FILE-001`）	已接受	P1	教师使用字幕辅助课程制作；`D-V1-014`、`D-V1-017`	—					待设计	
INT-TRIAL-001	doc/requirements/v1/06-interface-integration-requirements.md	销售页只打开已批准的飞书公开表单	已接受	P0	`D-V1-001`、`SCN-PUB-01`、`FR-INTAKE-001`、`FR-INTAKE-002`	`DATA-INTAKE-001`、`SEC-PRIV-003`、`OPS-HEALTH-002`					待设计	
INT-TRIAL-002	doc/requirements/v1/06-interface-integration-requirements.md	申请结果通过受权飞书入口交给人工运营	已接受	P0	`D-V1-001`、`SCN-PUB-01`、`FR-INTAKE-003`、`FR-INTAKE-004`	`DATA-INTAKE-001`、`DATA-INTAKE-002`、`SEC-ACCESS-001`、`SEC-PRIV-003`					待设计	
SEC-ACCESS-001	doc/requirements/v1/08-security-privacy-compliance-requirements.md	管理员与教师认证边界不能互换	已接受	P0	管理员与教师承担不同职责并使用独立业务入口	`FR-AUTH-001`、`FR-AUTH-004`、`FR-AUTH-010`、`DATA-ID-001`、`INT-WEB-001`					待设计	
SEC-ACCESS-002	doc/requirements/v1/08-security-privacy-compliance-requirements.md	教师业务对象始终受工作空间归属约束	已接受	P0	每名教师只管理自己的课程、发布和授权	`FR-WS-003`、`FR-WS-004`、`FR-WS-007`、`FR-WS-008`、`DATA-ID-003`					待设计	
SEC-ACCESS-003	doc/requirements/v1/08-security-privacy-compliance-requirements.md	学生与支持角色不能扩大业务权限	已接受	P0	学生当前没有服务端账号，支持职责也不拥有教师课程或学生本机数据	`FR-AUTH-007`、`FR-WS-002`、`FR-WS-006`、`FR-GRANT-009`、`FR-ADMIN-006`、`DATA-ID-004`					待设计	
SEC-SECRET-001	doc/requirements/v1/08-security-privacy-compliance-requirements.md	密码原文只用于当次认证或设置	已接受	P0	管理员和教师通过密码建立各自会话	`FR-AUTH-001`、`FR-AUTH-004`、`FR-AUTH-011`、`DATA-ID-002`					待设计	
SEC-SECRET-002	doc/requirements/v1/08-security-privacy-compliance-requirements.md	会话只代表当前已验证身份	已接受	P0	管理员和教师需要恢复、过期和主动结束会话	`FR-AUTH-003`、`FR-AUTH-005`、`FR-AUTH-006`、`FR-AUTH-010`、`DATA-ID-002`					待设计	
SEC-SECRET-003	doc/requirements/v1/08-security-privacy-compliance-requirements.md	授权码原文和系统密钥不进入普通数据流	已接受	P0	授权码用于建立领取来源，系统密钥用于保护会话或验证值	`FR-GRANT-003`、`FR-GRANT-004`、`FR-GRANT-012`、`DATA-DELIVERY-003`					待设计	
SEC-TRUST-001	doc/requirements/v1/08-security-privacy-compliance-requirements.md	插件消息只能调用允许的能力	已接受	P0	教师预览、插件页面、后台脚本和 B 站内容脚本需要跨边界通信	`INT-EXT-001`、`INT-EXT-002`、`INT-EXT-003`、`FR-RUNTIME-013`					待设计	
SEC-TRUST-002	doc/requirements/v1/08-security-privacy-compliance-requirements.md	外部内容只作为数据解析和展示	已接受	P0	系统需要接收课程发布包、字幕文件和教师课程文件	`FR-AUTHOR-002`、`FR-AUTHOR-010`、`FR-LIB-005`、`FR-RUNTIME-009`、`FR-PORT-004`、`INT-PACKAGE-002`、`INT-FILE-001`、`INT-FILE-002`					待设计	
SEC-TRUST-003	doc/requirements/v1/08-security-privacy-compliance-requirements.md	验证失败不破坏最后有效数据	已接受	P0	课程安装、更新、导入和消息写入都可能遇到畸形、中断或不兼容输入	`FR-LIB-006`、`FR-LIB-010`、`FR-LIB-013`、`FR-PORT-003`、`FR-PORT-004`、`DATA-QUALITY-002`、`DATA-QUALITY-003`					待设计	
SEC-PRIV-001	doc/requirements/v1/08-security-privacy-compliance-requirements.md	学生课程和学习状态不自动离开本机	已接受	P0	`D-026` 已确定当前阶段只使用单机本地学习标识和学习状态	`FR-AUTH-007`、`FR-LIB-001`、`FR-LEARN-011`、`FR-ADMIN-006`、`DATA-ID-004`、`DATA-LOCAL-001`、`DATA-LOCAL-005`					待设计	
SEC-PRIV-002	doc/requirements/v1/08-security-privacy-compliance-requirements.md	日志、错误证据和测试数据使用最小必要内容	已接受	P0	原型仍需要诊断、排障和可重复测试，但不需要收集学生业务正文或秘密	`FR-AUTH-011`、`FR-GRANT-012`、`FR-ADMIN-003`、`FR-ADMIN-006`、`DATA-OPS-001`、`DATA-OPS-002`					待设计	
SEC-PRIV-003	doc/requirements/v1/08-security-privacy-compliance-requirements.md	公开试用申请的联系方式只用于受控接入	已接受	P0	`D-V1-001`、`SCN-PUB-01`；公开表单会收集联系方式和课程准备信息	`FR-INTAKE-001`、`FR-INTAKE-004`、`DATA-INTAKE-001`、`DATA-INTAKE-002`、`INT-TRIAL-001`、`INT-TRIAL-002`					待设计	
DEV-STRUCT-001	doc/requirements/v1/09-development-quality-requirements.md	每项共享规则只有一个实现真源	已接受	P0	Web、服务端和插件需要共享身份、课程、发布包、消息和版本语义	`DATA-QUALITY-001`、`INT-EXT-002`、`INT-PACKAGE-002`、`SEC-TRUST-001`、`SEC-TRUST-002`					待设计	
DEV-STRUCT-002	doc/requirements/v1/09-development-quality-requirements.md	对外契约变更同步版本和消费端	已接受	P0	API、数据库、课程发布包、教师课程文件和插件消息均会被其它模块或旧版本使用	`DATA-PORT-001`、`DATA-QUALITY-001`、`DATA-QUALITY-003`、`INT-EXT-002`、`INT-PACKAGE-002`、`INT-FILE-002`					待设计	
DEV-DEP-001	doc/requirements/v1/09-development-quality-requirements.md	运行依赖最小、锁定且可追溯	已接受	P0	后端、前端、插件、测试和发布工具依赖的第三方软件会直接影响可重现性和供应链安全	`SEC-SECRET-003`、`SEC-TRUST-002`					待设计	
DEV-DEP-002	doc/requirements/v1/09-development-quality-requirements.md	配置按环境注入并在启动时验证	已接受	P0	本地开发、测试和生产运行需要不同的数据库、来源白名单、日志级别和系统密钥	`SEC-SECRET-001`、`SEC-SECRET-002`、`SEC-SECRET-003`					待设计	
DEV-CODE-001	doc/requirements/v1/09-development-quality-requirements.md	实现只扩展已接受需求的必要边界	已接受	P0	v1 是重构主版本，现有实现只是事实和历史证据，不是必须保留的结构	`CONSTRAINT-06`					待设计	
DEV-CODE-002	doc/requirements/v1/09-development-quality-requirements.md	错误有明确类型、安全结果和根因证据	已接受	P0	认证、保存、发布、授权、安装、导入和运行时均存在可恢复与不可继续的失败	`FR-AUTH-011`、`FR-PUBLISH-004`、`FR-GRANT-012`、`FR-LIB-013`、`FR-RUNTIME-014`、`DATA-QUALITY-003`					待设计	
DEV-TEST-001	doc/requirements/v1/09-development-quality-requirements.md	每个实现步骤先定义可观察的完成条件	已接受	P0	需求已为正常、失败、恢复及安全边界建立可验收结果	`FR-*`、`DATA-*`、`INT-*`、`SEC-*`					待设计	
